"","Name","Time","Latitude","Longitude","MaxWindSpeed","CentPressure","Rainfall","Surge","RainfallCumulativeCMORPHDay0","RainfallCumulativeCMORPHDay1","RainfallCumulativeCMORPHDay2","RainfallCumulativeCMORPHDay3","RainfallCumulativeCMORPHDay4"
"263","FRANCES2004","2004-09-04",26.6,-78.2,90,961,187.6472121,NA,568.7854077801,1023.4152396801,1029.4131566421,1029.8923231176,1029.8923231176
"264","SONGDA","2004-09-05",26.4,128.1,95,925,3.5,NA,932.947215,1420.6770752631,1420.8604086021,1422.7992972813,1425.8791586811
"265","FRANCES2004","2004-09-05",27.2,-80.2,90,960,333.366661809,NA,221.522217741,221.822217753,225.988884195,225.988884195,225.988884195
"266","FRANCES2004","2004-09-06",30.1,-84,50,982,66.0833345571,NA,NA,NA,NA,NA,NA
"267","SONGDA","2004-09-07",32.7,129.6,75,945,0,NA,98.5784634,98.5784634,130.2874923537,130.7874923448,130.793742345
"268","JEANNE","2004-09-14",16.2,-61.3,30,1009,304.038,6,818.3180019,818.3346685671,831.3346701351,833.4520308351,833.4520308351
"269","JEANNE","2004-09-15",18,-66,60,991,488.188,6,NA,NA,NA,NA,NA
"270","IVAN","2004-09-16",30.2,-87.9,105,946,431.8,10,153.12153,153.12153,153.12153,153.12153,153.12153
"271","JEANNE","2004-09-16",18.6,-68.3,70,985,319.766666961,6,954.8083596,2328.2805855,2690.686140342,2690.78614035,2690.78614035
"272","IVAN","2004-09-24",29.8,-93.6,30,1004,20.4895814232,10,45.7131924912,47.7791646339,47.7791646339,47.7791646339,47.7791646339
"273","JEANNE","2004-09-25",26.7,-77.3,100,956,348.5854074,6,323.3986044,417.685407861,526.4444339547,533.4867958113,533.4867958113
"274","JEANNE","2004-09-26",27.2,-80.2,105,950,294.0555269898,6,177.1666403898,177.2110848348,178.1666401806,255.8332958556,255.8332958556
"275","MEARI","2004-09-28",31.5,130.2,60,970,3,NA,145.2937563,148.7861179824,148.7861179824,148.7861179824,148.7861179824
"276","MEARI","2004-09-29",32.9,132.7,55,980,96,NA,227.1326369082,227.1326369082,227.2076369136,227.2076369136,227.215970247
"277","MA-ON2004","2004-10-09",34.8,138.8,80,950,10.5,NA,203.166672438,211.6000053348,213.1444494345,288.3333402012,288.8000068839
"278","MATTHEW2004","2004-10-10",29.2,-91,35,999,412.242,5.85,NA,NA,NA,NA,NA
"279","TOKAGE","2004-10-20",32.8,132.9,75,955,155,NA,262.85695587,263.101400325,263.143066992,263.143066992,263.143066992
"280","ARLENE2005","2005-06-10",21.8,-84.5,45,1000,43.0388909517,5,29.9333338767,29.9333338767,77.5347274998,79.9472272167,79.9472272167
"281","ARLENE2005","2005-06-11",30.3,-87.5,50,991,93.1500128961,5,93.4604295501,95.6458462599,95.6458462599,96.3833461863,104.5916835573
"282","BRET2005","2005-06-29",20.8,-97.3,35,1005,158.6909628291,NA,158.6909628291,159.6513794994,161.0909629998,166.6194362343,173.3187422073
"283","CINDY2005","2005-07-04",19,-87.6,30,1007,37.061111286,NA,NA,NA,NA,NA,NA
"284","DENNIS2005","2005-07-04",12.1,-61.6,30,1010,NA,NA,674.1895137909,918.6915900123,929.5749243933,929.586035505,983.6408983386
"285","CINDY2005","2005-07-06",29.2,-90.1,65,991,149.5083123,NA,280.0999498353,291.1117539219,291.3117539319,291.415920609,291.5138372775
"286","CINDY2005","2005-07-06",30.2,-89.5,45,995,318.941688984,NA,232.856958984,234.3715422609,234.6993200577,236.7965420991,280.7250110628
"287","DENNIS2005","2005-07-08",19.9,-77.6,120,956,NA,NA,838.3819488,841.8166697133,910.0305632703,927.6076467954,928.4861190636
"288","DENNIS2005","2005-07-08",22.1,-80.7,120,941,187.8194570631,NA,337.2208495452,978.9847441452,1046.9291853786,1058.1743239851,1061.5534909365
"289","DENNIS2005","2005-07-10",30.4,-87.1,105,946,NA,NA,481.8638980428,483.7284813003,483.8659813077,484.0326479778,658.8930760548
"290","EMILY2005","2005-07-14",12,-61.8,75,989,313.7083380198,15,NA,NA,NA,NA,NA
"291","EMILY2005","2005-07-18",20.3,-87.4,115,955,74.1250006914,15,259.1930529474,271.8548571549,272.6687461179,276.4756903026,523.6333209096
"292","EMILY2005","2005-07-20",24.8,-97.6,110,944,139.7729191002,15,510.7111053,511.6256888262,511.8173555052,511.8173555052,615.3874990692
"293","GERT2005","2005-07-25",21.8,-97.6,40,1005,85.583329968,3,42.5791603671,44.0298546771,50.2694382561,117.5701303671,117.5701303671
"294","BANYAN","2005-07-26",35.1,140.2,45,978,11,NA,13.3944449865,13.3944449865,13.3944449865,13.3944449865,14.1506949597
"295","MATSA","2005-08-04",24.3,124.3,80,955,NA,NA,631.468731,958.5333095601,958.5333095601,958.5333095601,958.5333095601
"296","JOSE2005","2005-08-23",19.7,-96.4,50,998,155.5972335,NA,400.5132311259,440.7125361816,463.9236475866,463.93198092,463.93198092
"297","MAWAR","2005-08-25",35.1,139.5,65,975,0,NA,373.595858736,373.729192074,373.729192074,373.7819698521,373.7819698521
"298","KATRINA2005","2005-08-25",26,-80.1,70,984,216.6889027914,4,NA,NA,NA,NA,NA
"299","KATRINA2005","2005-08-29",29.3,-89.6,110,920,172.766667537,4,404.0132011611,415.1298687132,419.7895909017,420.9895906473,421.3166739741
"300","KATRINA2005","2005-08-29",30.2,-89.6,105,928,252.6208104003,4,760.6930470003,760.6930470003,764.9208247155,793.9104062337,793.9104062337
"301","NABI","2005-09-06",32.5,130.2,70,960,364.49,NA,153.6993042231,153.6993042231,153.6993042231,160.8854159271,318.6805502355
"302","OPHELIA2005","2005-09-06",26.6,-78.3,25,1010,444.5,NA,261.767361015,262.498611018,281.000693571,282.915276969,289.640277255
"303","NABI","2005-09-07",44.5,141.5,50,985,6.5,NA,341.999982,341.999982,342.08887089,342.08887089,342.08887089
"304","RITA","2005-09-24",29.7,-93.7,100,937,406.4,1.2,292.8951561,292.8951561,293.101406103,294.645156303,296.800017303
"305","STAN","2005-10-02",19.6,-87.5,35,1003,34.8958342944,NA,109.2618068685,245.4388932576,272.9888925216,691.8444439146,701.6263888326
"306","STAN","2005-10-04",18.6,-94.9,70,977,NA,NA,576.971525166,681.7638863109,823.9722152412,1097.1770788506,1111.6631900373
"307","TAMMY","2005-10-05",30.4,-81.4,45,1002,367.792,NA,478.2833304981,492.2013849951,631.3791649638,631.4166649659,632.0798595327
"308","VINCE","2005-10-11",37.2,-7.1,30,1002,5.504165511,NA,25.237497468,44.220829971,44.220829971,44.220829971,44.220829971
"309","WILMA","2005-10-21",20.6,-86.8,130,927,336.804,12,898.4548305,1358.406214668,1790.8346938305,1790.8346938305,1790.8346938305
"310","WILMA","2005-10-22",20.8,-86.9,115,933,234.410418,12,472.976384568,898.0937371521,898.0937371521,898.0937371521,898.0937371521
"311","ALPHA","2005-10-23",18.3,-71.3,45,1000,297.6382168167,NA,297.6382168167,304.6736335287,308.3368281219,308.4229392333,308.4229392333
"312","WILMA","2005-10-24",25.9,-81.7,105,950,95.535397839,12,346.485373908,346.485373908,346.485373908,346.485373908,346.485373908
"313","BETA","2005-10-30",12.9,-83.5,90,970,184.502784948,NA,533.8486092195,533.9361092202,543.044442807,627.2576387217,773.0694440664
"314","ALBERTO2006","2006-06-13",29.9,-83.7,40,998,22.2770818257,NA,225.343054275,235.0124995431,235.0749995445,235.0999995459,235.0999995459
"315","BERYL2006","2006-07-21",41.3,-70.1,45,1000,18.489583065,NA,59.299305711,79.6125023454,173.5395911454,195.1319528454,195.1319528454
"316","MARIA2006","2006-08-08",34.2,139.1,50,992,0,NA,1066.99236387,1108.379868975,1108.379868975,1110.0590357241,1232.0576363751
"317","WUKONG","2006-08-17",31.8,131.5,45,980,0,NA,359.7333350544,361.4250018594,448.5756939594,451.3479160344,451.3479160344
"318","ERNESTO2006","2006-08-28",19.9,-75.5,35,1005,371.094,1,441.1361267754,584.8027831044,587.7791716974,608.5423663974,656.4694505055
"319","ERNESTO2006","2006-08-30",24.9,-80.6,40,1003,NA,1,191.0583316284,212.0152760121,229.6208296581,305.0437495503,447.6152727891
"320","ERNESTO2006","2006-08-30",25.2,-80.7,40,1003,279.0930666804,1,127.5909692514,129.3215247645,143.9777689575,151.9374910275,226.5763797585
"321","ERNESTO2006","2006-09-01",33.9,-78.1,60,985,NA,1,149.5013872191,149.710414986,149.821526109,152.2937480811,193.3069413981
"322","SHANSHAN","2006-09-15",24.3,123.9,110,919,NA,NA,485.9861024784,595.5208248534,606.6534622452,606.6534622452,606.9312400272
"323","SHANSHAN","2006-09-17",32.9,129.8,80,950,0,NA,143.125681437,143.125681437,143.125681437,143.15901477,143.9999870166
"324","BARRY2007","2007-06-02",27.5,-82.7,30,1000,134.7749934978,4,133.9333270638,134.7749934978,134.7749934978,134.7749934978,138.2256879033
"325","MAN-YI2007","2007-07-14",31.2,130.5,75,945,45.5,NA,145.0472340258,145.1159840268,199.0764102648,200.5319659698,203.0111327838
"326","USAGI","2007-08-02",32.3,131.7,80,960,0,NA,133.320140544,145.3972241751,145.3972241751,145.9430575365,177.0493040985
"327","USAGI","2007-08-04",41.1,140.4,35,998,NA,NA,3.5097221481,6.0222224361,66.7972217346,176.3111140233,254.7507015897
"328","ERIN2007","2007-08-16",28,-96.9,30,1006,186.491669337,3.1,NA,NA,NA,NA,NA
"329","DEAN2007","2007-08-21",18.7,-87.7,150,905,433.8714892491,18,422.0777394924,422.1194061588,422.1194061588,422.1194061588,422.1194061588
"330","DEAN2007","2007-08-22",20.5,-97,85,974,382.740372915,18,NA,NA,NA,NA,NA
"331","FELIX","2007-09-01",12.1,-61.7,45,1001,196.6625136,18,429.1923820551,499.7534905365,499.8347405385,499.8347405385,500.3375183205
"332","FELIX","2007-09-04",14.3,-83.2,140,934,327.2528082957,18,327.2528082957,380.9687821722,380.9687821722,436.9757230152,438.4979449872
"333","FITOW","2007-09-06",34.4,138.8,65,970,0,NA,376.988874426,377.199985554,377.699985558,424.2666510894,588.7527686562
"334","FITOW","2007-09-07",41.6,140.7,45,992,0,NA,108.3548633244,115.3152801294,125.4701413695,136.423612689,141.3625014732
"335","GABRIELLE2007","2007-09-09",34.8,-76.4,50,1005,100.188904155,NA,272.5500227184,281.4111341424,281.4111341424,307.7055820785,312.0750267477
"336","HUMBERTO","2007-09-13",29.6,-94.3,80,985,358.902,NA,355.4381823198,356.7541547295,358.9270715625,358.9270715625,358.9270715625
"337","NARI2007","2007-09-13",23.2,132,44.70832,992,0.1,NA,NA,NA,NA,NA,NA
"338","NARI2007","2007-09-14",25.7,127.2,89.41664,945,83,NA,453.73342074,453.766754073,481.955641599,563.505642699,568.3861980474
"339","NARI2007","2007-09-15",26.7,126.5,93.30432,940,87,NA,7.9194444,42.007637223,102.436105662,107.7583284585,107.9791617942
"340","NARI2007","2007-09-16",30.4,126.2,83.58512,950,420,NA,1.1423609919,10.3027769919,49.3652767056,53.7909714306,54.8340271542
"341","WIPHA","2007-09-17",24.2,123.9,100,925,0,NA,400.3264042014,1004.5792229154,1019.2799196084,1025.8104755364,1039.9618655346
"342","TEN","2007-09-22",30.4,-86.7,25,1006,20.237500038,NA,76.4506875282,96.7326335376,96.8659668846,97.1187446733,97.4631891138
"343","LORENZO","2007-09-28",20.5,-97,65,993,516.718722279,NA,NA,NA,NA,NA,NA
"344","NOEL","2007-10-29",18.1,-72.5,45,1002,437.642,NA,84.7659660177,813.5083065177,872.0388646347,927.1194249237,1252.1465066517
"345","NOEL","2007-10-30",21.1,-75.8,50,997,127.762,NA,177.2902725465,450.3208472025,468.2770968129,479.7243180969,484.7201518404
"346","NOEL","2007-11-01",24.1,-77.9,50,993,NA,NA,179.0145801705,179.1729135075,182.0479132833,182.0479132833,182.0479132833
"347","NOEL","2007-11-01",25,-77.4,55,992,89.6888979081,NA,NA,NA,NA,NA,NA
"348","OLGA","2007-12-11",18.4,-66.5,40,1005,282.702,NA,206.424996906,239.299993953,239.49999396,245.3638836699,256.147218738
"349","OLGA","2007-12-11",18.5,-68.4,50,1003,179.832,NA,111.7138845939,154.4680486239,154.862493105,160.3166603421,162.9472161069
"350","ARTHUR2008","2008-05-31",17.9,-88.2,40,1004,62.6750052,NA,194.211112389,476.813893389,1570.516702704,1634.0222610321,1689.2833723182
"351","DOLLY2008","2008-07-21",20.8,-87,45,1007,66.1909719645,4,NA,NA,NA,NA,NA
"352","DOLLY2008","2008-07-23",26.4,-97.2,75,967,113.368741506,4,330.2458396143,352.8791757183,352.8791757183,352.8791757183,352.9458423843
"353","DOLLY2008","2008-07-23",26.4,-97.4,70,967,NA,4,486.9520932033,555.2958484944,555.2958484944,555.2958484944,555.3708484938
"354","EDOUARD2008","2008-08-05",29.6,-94.2,55,996,80.133324669,NA,249.954837279,257.4951117606,257.4951117606,341.5760292006,403.9142199108
"355","FAY2008","2008-08-15",18.5,-68.4,35,1009,216.974972655,NA,622.473593469,644.188871169,644.2666489485,645.0367877847,645.0367877847
"356","FAY2008","2008-08-16",18.8,-72.8,40,1007,184.926370176,NA,184.926370176,186.749286774,187.661786883,228.049288185,252.388872438
"357","FAY2008","2008-08-17",19.9,-77.4,45,1004,NA,NA,411.3027789021,417.2194455654,419.8034732208,427.1819456718,439.9708350906
"358","FAY2008","2008-08-18",22.1,-80.8,45,1003,22.7416694931,NA,86.4340319652,130.748618301,130.8965349738,131.0882016438,161.1034801446
"359","FAY2008","2008-08-18",24.5,-81.8,50,998,210.636129276,NA,198.293764623,221.4451562034,221.5229339841,221.5229339841,221.5729339869
"360","FAY2008","2008-08-19",25.9,-81.6,55,991,NA,NA,836.931281691,839.0354483553,882.8048956983,920.7410043795,1009.5854517027
"361","FAY2008","2008-08-21",29.3,-81.1,55,993,26.429167479,NA,150.914585772,325.899315087,421.95833604,471.799305087,570.638894874
"362","FAY2008","2008-08-23",29.8,-84.7,45,997,129.13958724,NA,77.128473309,77.6847233382,79.3770844533,80.4708345933,82.1291679846
"363","GUSTAV2008","2008-08-26",18.1,-72.8,70,992,327.5916762267,4.43,425.6374842747,1542.2520837747,1630.5618013137,1650.368049612,1650.377424612
"364","GUSTAV2008","2008-08-28",18,-76.2,60,984,470.523626157,4.43,NA,NA,NA,NA,NA
"365","GUSTAV2008","2008-08-29",17.9,-77.2,60,987,156.739587894,4.43,550.1097471,584.545856205,584.545856205,584.6097450951,606.2958570711
"366","GUSTAV2008","2008-08-30",21.6,-82.5,125,943,131.466669408,4.43,356.388893211,356.6784765564,369.6013919079,379.4458366815,379.4458366815
"367","GUSTAV2008","2008-08-30",22.4,-83.1,135,941,NA,4.43,410.7465322659,447.6659817228,450.718064649,458.8729254573,459.0145921263
"368","GUSTAV2008","2008-09-01",29.2,-90.7,90,954,254.5874835,4.43,263.320123605,269.5479011328,269.5479011328,269.8659566748,270.4152622326
"369","HANNA2008","2008-09-02",21.8,-72.3,75,977,145.288,NA,262.2305445,352.4138702487,353.7360922476,353.7360922476,355.5388700496
"370","HANNA2008","2008-09-03",21.7,-71.8,50,994,268.1930287002,NA,299.9826117,299.9888617002,299.9888617002,308.7353926296,596.7055516296
"371","HANNA2008","2008-09-06",33.8,-78.7,60,981,204.37778292,NA,199.062505338,202.439589042,202.439589042,210.6500058108,231.2958459408
"372","IKE","2008-09-07",21,-73.2,110,947,447.04,1.15,NA,NA,NA,NA,NA
"373","IKE","2008-09-08",21.1,-75.7,115,945,110.083329,1.15,288.1562313,288.1562313,309.9791440881,310.0013663112,310.0013663112
"374","IKE","2008-09-09",22.6,-82.9,70,965,NA,1.15,158.817696174,765.772563474,784.670479746,785.0163131007,785.9427018441
"375","IKE","2008-09-13",29.3,-94.7,95,950,224.3763827463,1.15,201.340966572,285.4729114554,285.5312447928,285.5854114611,285.5854114611
"376","KYLE2008","2008-09-29",43.8,-66.2,65,985,51.4305586104,NA,8.4472223364,8.4722223378,8.5777778979,24.8111097,27.094443168
"377","MARCO","2008-10-07",19.9,-96.5,55,998,173.766652173,2.5,446.056907823,466.1069055582,466.1819055642,499.6825984479,499.7742651243
"378","SIXTEEN","2008-10-15",15.8,-84.5,25,1005,86.2687593117,NA,85.9798704027,86.3770926471,86.6270926791,122.8416769392,218.0194488609
"379","PALOMA","2008-11-09",20.7,-78,85,970,302.92636776,8,NA,NA,NA,NA,NA
"380","CLAUDETTE2009","2009-08-17",30.4,-86.5,40,1005,12.189583251,3,93.4798636611,148.0805565021,149.0027785791,165.8208360741,236.7250008033
"381","BILL2009","2009-08-24",46.9,-56,60,976,87.63,3.1,NA,NA,NA,NA,NA
"382","ERIKA2009","2009-09-02",16.3,-61.3,35,1008,141.6395863737,NA,3.4041668007,493.5361633737,581.2215804687,583.5132474927,583.5132474927
"383","MELOR","2009-10-07",34.2,136.9,75,955,48.5,NA,613.168085844,613.168085844,613.2903080721,613.2903080721,613.2903080721
"384","IDA","2009-11-05",12.9,-83.6,70,985,457.2,6.53,1075.003500564,1075.103500569,1161.213920118,1162.3097533536,1163.1555866916
"385","ALEX2010","2010-06-27",17.5,-88.2,55,995,890.016,NA,212.700025125,215.45558019,215.45558019,215.45558019,215.45558019
"386","ALEX2010","2010-07-01",24.2,-97.7,95,946,365.252,NA,258.7194309,258.7194309,258.7256809002,258.7256809002,258.7256809002
"387","TWO","2010-07-08",26.1,-97.1,30,1006,NA,NA,130.8201280992,144.3972114234,144.3972114234,144.3972114234,144.3972114234
"388","BONNIE2010","2010-07-22",23,-75.7,35,1006,65.845144104,1.9,NA,NA,NA,NA,NA
"389","BONNIE2010","2010-07-23",23.7,-77.5,40,1005,12.473610402,1.9,10.424999574,10.5916662474,57.8201443464,57.8201443464,57.8201443464
"390","BONNIE2010","2010-07-23",25.4,-80.2,35,1007,14.974999101,1.9,68.119442292,68.449997853,74.6444423358,74.6444423358,74.6444423358
"391","DIANMU2010","2010-08-08",23.6,125.1,40.82064,994,NA,NA,298.753468749,854.3438205738,952.9389568782,952.9389568782,952.9389568782
"392","DIANMU2010","2010-08-09",27.1,125.6,52.48368,985,1.5,NA,332.719436838,344.1124930587,344.1124930587,344.1374930601,344.1374930601
"393","DIANMU2010","2010-08-10",31.1,125.1,60.25904,980,59,NA,304.23334965,304.23334965,304.23334965,304.23334965,304.23334965
"394","DIANMU2010","2010-08-11",33.7,126.3,52.48368,985,17.5,NA,0.749999913,1.5645831,46.6097241954,46.6868075274,50.4541686504
"395","DIANMU2010","2010-08-12",39.5,140.1,40,994,21.5,NA,177.922251504,196.4743347498,230.790306024,233.3472504408,233.3472504408
"396","KOMPASU2010","2010-08-29",21.2,134.4,34.98912,1000,17,NA,481.0867908804,584.3694386244,615.4242975285,623.9076319977,991.7729211057
"397","KOMPASU2010","2010-08-30",23.8,131.2,60.25904,980,5.5,NA,591.03614268,709.4778113112,709.4778113112,709.4861446446,1154.5806148524
"398","KOMPASU2010","2010-08-31",26.6,128.1,80,960,NA,NA,365.4076590237,366.3243257295,366.3243257295,378.39863046,463.9340417088
"399","KOMPASU2010","2010-09-01",30.4,125.2,77.7536,960,57.5,NA,185.4687482688,185.4687482688,185.4687482688,311.0569600047,447.688907604
"400","KOMPASU2010","2010-09-02",35.3,125,73.86592,970,54,NA,NA,NA,NA,NA,NA
"401","KOMPASU2010","2010-09-03",41.2,134.5,NA,1008,NA,NA,0,0,0,133.2173595,133.2173595
"402","EARL2010","2010-09-04",44.3,-64.5,65,962,131.318,NA,45.1861014,45.1861014,45.1861014,45.7180458771,46.2097125465
"403","EARL2010","2010-09-04",46,-62.7,60,967,76.708,NA,NA,NA,NA,NA,NA
"404","MALOU2010","2010-09-07",34.4,129.2,45,996,0,NA,38.8715314752,40.3479203004,40.3479203004,42.0062538792,55.3118095965
"405","HERMINE2010","2010-09-07",25.3,-97.4,60,989,79.038885,3.4,151.266675552,153.858342147,153.858342147,153.858342147,153.858342147
"406","MALOU2010","2010-09-08",35.6,136,35,1004,1.5,NA,NA,NA,NA,NA,NA
"407","KARL","2010-09-15",18.5,-87.8,55,991,452.882,NA,541.295167416,549.3528063252,549.6035007693,549.7951674423,549.7951674423
"408","KARL","2010-09-17",19.3,-96.2,100,976,278.666677878,NA,279.255565653,366.063891594,372.44444748,373.161114183,373.161114183
"409","IGOR","2010-09-21",46.6,-53.2,75,950,236.22,3.5,115.5416472189,115.5416472189,115.7270638929,115.7270638929,128.6166477936
"410","MATTHEW2010","2010-09-24",14.7,-83.3,50,998,406.5381846687,5.85,405.45971265,467.6534666901,603.1486178901,603.2263956702,603.2263956702
"411","MATTHEW2010","2010-09-25",16.5,-88.4,35,1000,80.397222636,5.85,230.3805552201,275.8180529685,336.1625028744,457.4013821502,466.3118004705
"412","PAULA","2010-10-11",15,-83.2,45,1004,543.043667373,NA,NA,NA,NA,NA,NA
"413","PAULA","2010-10-14",22.7,-83.9,55,1000,148.395854937,NA,434.0569875747,434.0819875761,434.0819875761,434.1903209151,434.1903209151
"414","RICHARD","2010-10-25",17.2,-88.3,85,977,310.9361098215,NA,119.0388845655,119.0388845655,119.0388845655,119.0555512326,150.9194385567
"415","TOMAS","2010-10-30",13,-59.5,60,997,568.681941,NA,NA,NA,NA,NA,NA
"416","TOMAS","2010-10-30",13.4,-61.2,85,987,183.0666699,NA,479.8069509,635.794456041,635.794456041,642.3291782358,683.5312676703
"417","TOMAS","2010-11-06",21.7,-71.6,60,992,89.1944448,NA,262.9743048828,263.3298604482,286.9729166082,291.0833328741,291.0833328741
"418","ARLENE2011","2011-06-30",21.6,-97.4,55,993,NA,5,144.1444359984,222.180549456,268.7374928457,353.2520808498,354.6437474028
"419","MA-ON2011","2011-07-19",33.6,134.3,75,960,20.5,NA,193.180545843,193.278462513,193.572212541,195.5673517944,195.5673517944
"420","MA-ON2011","2011-07-20",33.5,135.6,55,980,0,NA,3.0652780164,4.9215281178,5.2430558355,5.640972534,6.6395836335
"421","DON","2011-07-30",27.3,-97.4,30,1007,0.8333334447,1.89,0.1361111166,0.1361111166,0.1361111166,0.1361111166,0.1361111166
"422","MUIFA","2011-08-05",26.3,126.8,80,950,31.5,NA,326.4173628,696.6395668014,696.6395668014,699.5840114892,699.5840114892
"423","HARVEY2011","2011-08-20",17,-88.3,55,995,185.7222075,NA,NA,NA,NA,NA,NA
"424","IRENE2011","2011-08-21",17.8,-64.6,60,993,139.638885162,7.09,189.583327008,479.037509955,495.759734955,497.7430677249,499.2798729738
"425","HARVEY2011","2011-08-22",18.7,-95.2,35,1005,183.479176617,NA,18.657637809,119.2743061596,119.2743061596,119.5263895224,119.5263895224
"426","IRENE2011","2011-08-22",18.1,-65.8,60,990,159.516668256,7.09,450.145844739,786.343776843,1067.996556192,1071.4555839366,1074.3715564143
"427","IRENE2011","2011-08-24",22.4,-74,100,955,286.9583238,7.09,NA,NA,NA,NA,NA
"428","IRENE2011","2011-08-25",23.5,-75.1,95,952,210.6416685,7.09,404.1645984,404.1645984,421.7673762,423.9555705564,423.9916816695
"429","IRENE2011","2011-08-25",24.7,-76.2,90,950,363.133319157,7.09,299.152772157,299.452772163,306.602772663,308.186105913,347.927767944
"430","IRENE2011","2011-08-25",26.5,-77.2,90,950,305.843738445,7.09,296.8083245661,325.3534625112,325.3645736229,440.5694456829,443.1763895385
"431","IRENE2011","2011-08-27",34.7,-76.6,75,952,168.1166559,7.09,488.1666573,494.4749915394,495.3694357989,560.3805543213,560.5361098824
"432","IRENE2011","2011-08-28",39.4,-74.4,60,959,NA,7.09,209.4340289676,209.4340289676,209.4340289676,209.4340289676,210.3840289413
