ID,Name,Time,Central Position,,Central Pressure,Maximum Wind Speed,,Gale Radius,Moving Speed,Daily Precipitation
,,,Latitude(°N),Longitude(°E),(hPa),(m/s),(km/h),(km),(km/h),(mm)
200205,RAMMASUN,6/29/2002 15:00,11.3,136.2,996,20,72,130,5,0
,,6/30/2002 15:00,13.3,134.6,985,26,94,480,15,1.5
,,7/1/2002 15:00,16.2,132.7,975,31,112,650,18,22
,,7/2/2002 15:00,20.2,128.8,965,36,130,830,28,18
,,7/3/2002 9:00,23.2,126.2,950,44,158,800,23,
,,7/3/2002 21:00,24.7,125.4,945,44,158,750,18,-
,,7/4/2002 3:00,25.6,124.8,945,44,158,740,16,
,,7/4/2002 9:00,26.8,124.5,945,44,158,740,22,
,,7/4/2002 15:00,27.7,124.2,950,41,148,700,19,
,,7/4/2002 21:00,29.4,124.4,955,38,137,610,22,14
,,7/5/2002 0:00,29.8,124.2,955,38,137,610,22,
,,7/5/2002 3:00,30.6,124.2,960,36,130,500,22,
,,7/5/2002 6:00,31.6,124.3,960,36,130,500,28,
,,7/5/2002 9:00,32.1,123.8,965,33,119,460,28,
,,7/5/2002 12:00,32.4,123.5,965,33,119,430,17,
,,7/5/2002 15:00,32.8,123.6,975,30,108,430,13,
,,7/5/2002 18:00,33.4,124.1,980,28,101,430,20,
,,7/5/2002 21:00,33.7,124.5,980,28,101,430,22,215
,,7/6/2002 0:00,34.5,125.2,980,25,90,370,22,
,,7/6/2002 3:00,34.7,125.4,980,23,83,320,22,
,,7/6/2002 6:00,35.4,125.8,985,23,83,320,28,
,,7/6/2002 8:00,35.8,126.4,985,23,83,300,28,
,,7/6/2002 9:00,36,126.7,985,21,76,280,34,
,,7/6/2002 10:00,36.4,126.8,985,21,76,280,37,
,,7/6/2002 11:00,36.7,127,985,20,72,250,37,
,,7/6/2002 12:00,37,127.3,985,20,72,250,40,
,,7/6/2002 13:00,37.2,127.6,985,18,65,200,40,
,,7/6/2002 14:00,37.3,127.9,985,18,65,170,35,
,,7/6/2002 15:00,37.5,128.1,985,18,65,170,35,
,,7/6/2002 16:00,37.9,128.5,985,18,65,150,40,
,,7/6/2002 17:00,38,128.9,985,18,65,150,40,
,,7/6/2002 18:00,38.2,129.2,985,18,65,150,35,
,,7/6/2002 19:00,38.4,129.3,985,18,65,150,30,
,,7/6/2002 21:00,38.7,129.7,988,16,58,-,20,2
200215,RUSA,8/23/2002 9:00,16.5,161,1000,18,65,180,26,13
,,8/24/2002 15:00,19.1,156,985,26,94,370,22,6.5
,,8/25/2002 15:00,21.1,150.8,975,31,112,650,32,-
,,8/26/2002 15:00,22.6,145.6,955,40,144,600,21,-
,,8/27/2002 15:00,23.7,140.5,955,39,140,650,24,-
,,8/28/2002 9:00,25.1,136.5,955,39,140,650,25,
,,8/28/2002 21:00,26.4,134.1,955,39,140,550,24,0
,,8/29/2002 9:00,27.6,131.5,950,41,148,550,24,
,,8/29/2002 15:00,28,130.4,955,39,140,540,17,
,,8/29/2002 21:00,28.3,129.7,950,36,130,500,15,0
,,8/30/2002 3:00,28.8,128.8,950,36,130,500,17,
,,8/30/2002 9:00,29.5,128.2,950,36,130,500,15,
,,8/30/2002 15:00,30.2,127.7,950,38,137,500,15,
,,8/30/2002 21:00,30.7,127.7,950,38,137,500,11,65.5
,,8/31/2002 3:00,31.6,127.6,955,36,130,500,11,
,,8/31/2002 6:00,32.1,127.6,955,36,130,500,11,
,,8/31/2002 9:00,32.6,127.1,960,36,130,500,18,
,,8/31/2002 12:00,33.3,127.2,960,36,130,500,20,
,,8/31/2002 15:30,34.4,127.4,960,36,130,500,30,
,,8/31/2002 18:00,35,127.3,965,33,119,420,23,
,,8/31/2002 21:00,35.5,127.4,975,28,101,370,22,126
,,9/1/2002 0:00,35.9,127.6,980,24,86,360,18,
,,9/1/2002 3:00,36.4,127.9,985,21,76,290,20,
,,9/1/2002 6:00,37,128.1,990,18,65,250,23,
,,9/1/2002 9:00,37.5,128.3,990,18,65,190,23,
,,9/1/2002 12:00,38,128.4,990,18,65,100,23,
,,9/1/2002 15:00,38.9,129.7,992,-,-,-,24,0.5
200314,MAEMI,9/6/2003 15:00,16,141.5,996,18,65,310,15,-
,,9/7/2003 15:00,18.9,136.9,992,21,76,300,20,-
,,9/8/2003 15:00,20.1,132.9,975,31,112,350,20,0.5
,,9/9/2003 15:00,22.4,129.4,950,41,148,350,23,12.5
,,9/10/2003 9:00,23.7,127.4,925,49,176,440,11,
,,9/10/2003 21:00,24.3,126,915,54,194,440,12,-
,,9/11/2003 10:00,25.3,125.1,910,54,194,460,8,
,,9/11/2003 15:00,25.8,125.2,915,54,194,460,11,
,,9/11/2003 21:00,26.8,125.4,930,49,176,460,20,34.5
,,9/12/2003 3:00,28.5,125.8,935,46,166,460,28,
,,9/12/2003 6:00,29.5,126.1,940,41,148,440,32,
,,9/12/2003 9:00,30.5,126.5,945,41,148,440,38,
,,9/12/2003 12:00,31.6,126.7,945,41,148,440,40,
,,9/12/2003 15:00,32.7,127,950,41,148,440,40,
,,9/12/2003 18:00,33.8,127.5,950,41,148,440,40,
,,9/12/2003 21:00,35.1,128.4,955,38,137,330,44,231.5
,,9/13/2003 0:00,35.8,128.7,960,36,130,300,42,
,,9/13/2003 3:00,37.1,129.7,970,31,112,300,42,
,,9/13/2003 6:00,37.8,130.7,970,31,112,300,40,
,,9/13/2003 9:00,38.6,131.7,975,28,101,300,40,
,,9/13/2003 15:00,40.5,134.5,980,26,94,370,46,
,,9/13/2003 21:00,42.3,138.1,980,26,94,370,56,0.4
,,9/14/2003 6:00,46,144,984,-,-,550,55,-
200603,EWINIAR,7/1/2006 3:00,7.6,137.8,1000,18,65,220,11,
,,7/1/2006 15:00,9.4,137,995,19,68,220,23,33
,,7/2/2006 3:00,10.7,136.3,992,21,76,260,13,
,,7/2/2006 15:00,11.2,135.2,992,21,76,260,13,-
,,7/3/2006 3:00,12.1,134.5,990,23,83,260,13,
,,7/3/2006 15:00,13.1,134.5,970,36,130,330,10,0
,,7/4/2006 3:00,14.7,133.5,950,41,148,370,15,
,,7/4/2006 15:00,16.1,132.5,945,44,158,400,15,10
,,7/5/2006 3:00,17.4,131.5,925,49,176,460,15,
,,7/5/2006 15:00,18.2,130.1,920,51,184,460,13,0.5
,,7/6/2006 3:00,18.8,129.2,935,43,155,460,9,
,,7/6/2006 15:00,19.6,128.4,935,43,155,440,9,-
,,7/7/2006 3:00,20.6,127.8,940,43,155,440,11,
,,7/7/2006 15:00,21.4,127.5,950,41,148,440,10,-
,,7/8/2006 3:00,22.5,126.5,950,41,148,440,13,
,,7/8/2006 15:00,24.2,126.3,950,41,148,460,19,
,,7/8/2006 21:00,25.1,126.1,955,38,137,460,19,63
,,7/9/2006 3:00,26.3,125.9,955,38,137,460,23,
,,7/9/2006 9:00,27.5,125.8,960,36,130,460,22,
,,7/9/2006 15:00,29.2,125.8,965,35,126,370,30,
,,7/9/2006 21:00,30.4,125.9,970,33,119,330,26,7.5
,,7/10/2006 0:00,31.1,125.9,970,33,119,330,20,
,,7/10/2006 3:00,31.8,125.8,970,33,119,330,30,
,,7/10/2006 6:00,32.6,126,970,33,119,330,26,
,,7/10/2006 9:00,33.7,126.3,975,31,112,330,37,
,,7/10/2006 12:00,34.6,126.4,980,26,94,310,37,
,,7/10/2006 15:00,35.5,126.5,985,23,83,310,35,
,,7/10/2006 18:00,36.5,126.8,985,21,76,300,35,
,,7/10/2006 21:00,37.3,127.4,992,19,68,100,35,
,,7/10/2006 22:00,37.6,127.9,998,-,-,-,40,145.5
200711,NARI,9/13/2007 15:00,22.7,132.9,998,18,65,200,22,
,,9/13/2007 21:00,23.2,132,992,23,83,200,17,0.1
,,9/14/2007 9:00,24.4,129.4,970,33,119,200,17,
,,9/14/2007 15:00,25,128.1,955,44,158,200,22,
,,9/14/2007 21:00,25.7,127.2,945,46,166,200,19,83
,,9/15/2007 3:00,26.7,126.5,940,48,173,200,20,
,,9/15/2007 9:00,27.8,126.2,940,46,166,200,20,
,,9/15/2007 15:00,29,126.1,940,46,166,200,22,
,,9/15/2007 21:00,30,126.2,945,44,158,180,19,87
,,9/16/2007 0:00,30.4,126.2,950,43,155,180,17,
,,9/16/2007 3:00,31,126.3,955,41,148,200,19,
,,9/16/2007 6:00,31.6,126.6,960,39,140,200,20,
,,9/16/2007 9:00,32.3,126.7,960,39,140,180,25,
,,9/16/2007 12:00,33.1,126.7,960,43,155,180,28,
,,9/16/2007 15:00,33.9,127.2,965,39,140,180,30,
,,9/16/2007 18:00,34.4,127.4,980,27,97,160,25,
,,9/16/2007 21:00,35.3,127.6,994,19,68,80,26,420
,,9/17/2007 0:00,36,128.2,1000,-,-,-,31,3
201004,DIANMU,8/8/2010 21:00,23.6,125.1,994,21,76,100,19,-
,,8/9/2010 3:00,24.3,125.2,992,22,79,120,16,
,,8/9/2010 9:00,25.7,125.6,990,24,86,200,27,
,,8/9/2010 15:00,27.1,125.6,985,27,97,250,26,
,,8/9/2010 18:00,28,125.6,985,27,97,250,34,
,,8/9/2010 22:00,28.8,125.2,985,27,97,250,25,1.5
,,8/10/2010 0:00,29.2,125,985,27,97,250,25,
,,8/10/2010 3:00,29.7,125.1,985,27,97,250,19,
,,8/10/2010 6:00,30.1,125.2,985,27,97,300,16,
,,8/10/2010 9:00,31.1,125.1,980,31,112,300,38,
,,8/10/2010 12:00,31.4,125.3,980,31,112,300,13,
,,8/10/2010 15:00,31.9,125.2,980,31,112,300,19,
,,8/10/2010 18:00,32.7,125.5,980,31,112,300,32,
,,8/10/2010 21:00,33.1,125.7,980,31,112,300,17,59
,,8/11/2010 0:00,33.7,126.3,985,27,97,250,29,
,,8/11/2010 3:00,34.2,126.7,985,27,97,200,23,
,,8/11/2010 6:00,34.6,127.4,990,24,86,180,27,
,,8/11/2010 9:00,34.9,128,990,24,86,150,22,
,,8/11/2010 12:00,35.3,128.8,990,24,86,120,29,
,,8/11/2010 15:00,35.6,129.8,990,24,86,120,33,
,,8/11/2010 18:00,36.2,131.5,990,24,86,120,56,
,,8/11/2010 21:00,36.7,132.9,992,22,79,120,46,17.5
,,8/12/2010 0:00,36.9,133.6,992,22,79,120,23,
,,8/12/2010 3:00,37,134,995,20,72,120,13,
,,8/12/2010 9:00,38.2,136,995,20,72,120,37,
,,8/12/2010 15:00,39.2,138.8,998,-,-,-,45,-
201007,KOMPASU,8/29/2010 21:00,21.2,134.4,1000,18,65,220,18,17
,,8/30/2010 3:00,21.7,133.2,996,19,68,250,23,
,,8/30/2010 9:00,22.8,132.4,992,21,76,280,25,
,,8/30/2010 15:00,23.3,131.8,985,27,97,300,14,
,,8/30/2010 21:00,23.8,131.2,980,31,112,350,14,5.5
,,8/31/2010 3:00,24.5,130.3,970,36,130,450,20,
,,8/31/2010 9:00,25.1,129.4,960,40,144,450,19,
,,8/31/2010 15:00,26.2,128.4,960,40,144,300,27,
,,8/31/2010 21:00,27.4,127.3,960,40,144,300,29,7
,,9/1/2010 0:00,28,126.7,965,38,137,300,30,
,,9/1/2010 3:00,28.6,126.2,965,38,137,300,28,
,,9/1/2010 6:00,29.5,125.7,965,38,137,300,38,
,,9/1/2010 9:00,30.4,125.2,960,40,144,300,38,
,,9/1/2010 12:00,31.3,124.9,960,40,144,300,35,
,,9/1/2010 15:00,32.3,124.6,965,38,137,280,39,
,,9/1/2010 18:00,33.4,124.6,965,38,137,250,41,
,,9/1/2010 21:00,34.3,124.8,970,38,137,240,34,57.5
,,9/2/2010 0:00,35.3,125,970,38,137,240,38,
,,9/2/2010 3:00,36.3,125.6,975,36,130,220,42,
,,9/2/2010 6:00,37.5,126.3,985,27,97,180,50,
,,9/2/2010 9:00,38.3,127.3,990,24,86,150,42,
,,9/2/2010 12:00,39.4,128.6,990,24,86,150,56,
,,9/2/2010 15:00,39.5,129.6,995,20,72,130,29,
,,9/2/2010 18:00,39.8,130.9,995,20,72,130,39,
,,9/2/2010 21:00,40.3,132.4,998,18,65,100,47,54
,,9/3/2010 3:00,41.2,134.5,1008,-,-,-,34,-
201207,KHANUN,7/16/2012 15:00,24.2,136.1,1002,18,65,150,50,
,,7/16/2012 21:00,24.8,134.6,1002,18,65,150,33,0.1
,,7/17/2012 3:00,25.6,132.8,998,20,72,180,34,
,,7/17/2012 9:00,26.1,130.9,992,22,79,230,33,
,,7/17/2012 15:00,26.8,129.6,992,22,79,230,25,
,,7/17/2012 21:00,27.7,128.4,992,22,79,230,26,74
,,7/18/2012 0:00,28.2,128,990,24,86,240,23,
,,7/18/2012 3:00,28.5,127.3,988,25,90,250,25,
,,7/18/2012 6:00,28.9,126.9,988,25,90,250,20,
,,7/18/2012 9:00,29.7,126.6,988,25,90,250,31,
,,7/18/2012 12:00,30.6,126.4,988,25,90,250,34,
,,7/18/2012 15:00,31.8,126.2,988,25,90,250,45,
,,7/18/2012 18:00,32.7,126.2,990,24,86,230,33,
,,7/18/2012 21:00,33.7,126.2,990,24,86,230,37,53.4
,,7/19/2012 0:00,34.6,126.2,992,22,79,200,33,
,,7/19/2012 3:00,35.6,126.2,992,22,79,130,37,
,,7/19/2012 6:00,36.6,126.4,992,22,79,120,38,
,,7/19/2012 9:00,37.6,127.2,996,19,68,50,44,
,,7/19/2012 12:00,38.9,128.5,996,-,-,-,61,0
201214,TEMBIN,8/19/2012 9:00,17.6,124.8,1002,18,65,200,14,
,,8/19/2012 15:00,17.6,124.7,998,18,65,230,2,
,,8/19/2012 21:00,17.5,124.8,996,19,68,230,3,-
,,8/20/2012 3:00,17.6,124.7,992,22,79,230,3,
,,8/20/2012 9:00,18,124.8,980,31,112,280,8,
,,8/20/2012 15:00,18.4,125,965,38,137,350,8,
,,8/20/2012 21:00,18.8,125.2,950,43,155,350,8,-
,,8/21/2012 3:00,19.5,125.3,945,45,162,350,13,
,,8/21/2012 9:00,20.2,125.3,945,45,162,350,13,
,,8/21/2012 15:00,21.2,125.4,945,45,162,350,19,
,,8/21/2012 21:00,22,125.3,945,45,162,330,15,0.3
,,8/22/2012 3:00,22.3,124.9,955,41,148,320,9,
,,8/22/2012 9:00,22.5,124.5,965,38,137,300,8,
,,8/22/2012 15:00,22.5,124.3,965,38,137,300,3,
,,8/22/2012 21:00,22.5,124.1,965,38,137,300,3,20.3
,,8/23/2012 3:00,22.6,123.8,965,38,137,250,6,
,,8/23/2012 9:00,22.6,123.6,960,40,144,250,3,
,,8/23/2012 15:00,22.7,123.2,955,41,148,250,7,
,,8/23/2012 21:00,22.7,122.5,955,41,148,250,12,145.8
,,8/24/2012 3:00,22.4,121.3,955,41,148,250,21,
,,8/24/2012 9:00,22.1,120.5,975,34,122,220,15,
,,8/24/2012 15:00,22.3,119.7,975,34,122,220,14,
,,8/24/2012 21:00,22.3,119.5,975,34,122,220,3,46.2
,,8/25/2012 3:00,22.4,119.2,975,34,122,220,5,
,,8/25/2012 9:00,22.6,118.4,975,34,122,220,14,
,,8/25/2012 15:00,22.3,117.8,975,34,122,220,12,
,,8/25/2012 21:00,21.9,117.1,975,34,122,220,14,-
,,8/26/2012 3:00,21.4,116.8,975,34,122,220,11,
,,8/26/2012 9:00,21,116.8,970,36,130,250,7,
,,8/26/2012 15:00,20.9,116.6,970,36,130,250,4,
,,8/26/2012 21:00,20.7,116.5,970,36,130,250,4,0.7
,,8/27/2012 3:00,20.5,116.8,965,38,137,250,6,
,,8/27/2012 9:00,20.4,118,965,38,137,250,21,
,,8/27/2012 15:00,20.8,118.6,965,38,137,250,13,
,,8/27/2012 21:00,21.5,119.2,965,38,137,250,17,140.4
,,8/28/2012 3:00,21.9,120,975,34,122,230,16,
,,8/28/2012 9:00,22.8,121.7,975,34,122,230,34,
,,8/28/2012 15:00,24,122.9,975,34,122,230,30,
,,8/28/2012 21:00,25.3,123.6,980,31,112,200,27,165.5
,,8/29/2012 3:00,26.3,124,980,31,112,200,20,
,,8/29/2012 9:00,27.4,123.9,980,31,112,200,20,
,,8/29/2012 15:00,28.7,123.9,980,31,112,200,24,
,,8/29/2012 18:00,29.3,124,980,31,112,200,22,
,,8/29/2012 21:00,30.1,124.5,980,31,112,200,34,13.1
,,8/30/2012 0:00,30.9,124.9,980,31,112,200,32,
,,8/30/2012 3:00,32,125,980,31,112,200,41,
,,8/30/2012 6:00,32.9,125.7,980,31,112,200,40,
,,8/30/2012 9:00,33.9,126.2,985,27,97,180,40,
,,8/30/2012 12:00,34.6,127.2,992,23,83,170,40,
,,8/30/2012 15:00,35.7,127.8,995,20,72,150,45,
,,8/30/2012 18:00,36.8,128.3,998,19,68,80,43,
,,8/30/2012 21:00,37.1,129.2,1000,18,65,30,29,38.7
,,8/31/2012 0:00,37.3,130.3,1002,-,-,-,33,-
201216,SANBA,9/11/2012 9:00,9.4,134,1004,18,65,200,4,
,,9/11/2012 15:00,10.6,133.9,1000,18,65,200,22,
,,9/11/2012 21:00,11.4,133.4,996,19,68,200,17,0
,,9/12/2012 3:00,11.8,132.5,996,19,68,200,18,
,,9/12/2012 9:00,12.6,131.8,992,22,79,220,20,
,,9/12/2012 15:00,13,131.1,992,22,79,220,15,
,,9/12/2012 21:00,13.6,130.6,980,31,112,300,14,-
,,9/13/2012 3:00,14.2,130,980,31,112,300,15,
,,9/13/2012 9:00,14.8,129.8,970,36,130,350,12,
,,9/13/2012 15:00,15.6,129.5,950,43,155,450,16,
,,9/13/2012 21:00,16.3,129.6,930,50,180,520,13,2.5
,,9/14/2012 3:00,17.2,129.7,915,54,194,530,17,
,,9/14/2012 9:00,18.1,129.7,915,54,194,530,17,
,,9/14/2012 15:00,19.1,129.8,910,56,202,530,19,
,,9/14/2012 21:00,20.2,129.8,920,53,191,500,20,1.7
,,9/15/2012 3:00,21.4,129.5,920,53,191,500,22,
,,9/15/2012 9:00,22.3,129.1,920,53,191,500,18,
,,9/15/2012 15:00,23.4,128.8,930,50,180,480,21,
,,9/15/2012 21:00,24.5,128.5,930,50,180,480,21,6
,,9/16/2012 3:00,25.6,128.2,935,48,173,480,21,
